YEAR,REMbdtCr
1976,35.85
1977,125.16
1978,165.59
1979,266.95
1980,492.95
1981,620.74
1982,1176.84
1983,1568.76
1984,1265.49
1985,1419.61
1986,1752.85
1987,2313.94
1988,2423.59
1989,2446
1990,2691.63
1991,2818.65
1992,3513.26
1993,3986.97
1994,4629.63
1995,4838.31
1996,5685.3
1997,6709.15
1998,7513.23
1999,8882.74
2000,10199.12
2001,11590.79
2002,16484.53
2003,18485.12
2004,21286.52
2005,27304.34
2006,38386.56
2007,45337.35
2008,61587.83
2009,73981.46
2010,76639.97
2011,90240.85
2012,115816.93
2013,108066.93
2014,115969.62
2015,119363.62
2016,107294.6
2017,110246.67
2018,130293.61